id,unit,prompt,answer,alt_answers,note
T-001,,両目で観察する顕微鏡で、観察物を立体的に見ることができる顕微鏡をなんというか。,双眼実体顕微鏡
T-002,,めしべの根もとのふくらんだ部分を何というか。,子房
T-003,,子房の中にある種子になる小さな粒を何というか。,胚珠
T-004,,めしべの先の部分を何というか。,柱頭
T-005,,おしべの先の花粉がつまったふくろを何というか。,やく,葯
T-006,,花粉が、柱頭につくことを何というか。,受粉
T-007,,受粉が行われると、子房は成長して何になるか。,果実
T-008,,種子をつくってなかまをふやす植物を何というか。,種子植物
T-009,,種子をつくらない植物は、何でふえるか。,胞子
T-010,,胚珠が子房に包まれている植物を何というか。,被子植物
T-011,,子房がなく、胚珠がむき出しの植物を何というか。,裸子植物
T-012,,葉に見られる筋のことを何というか。,葉脈
T-013,,根の先端付近に無数に生えている細い毛のようなものを何というか。,根毛
T-014,,種子植物のうち、発芽のとき1枚の子葉が出る植物を何類というか。,単子葉類
T-015,,単子葉類の植物の根を何というか。,ひげ根
T-016,,種子植物のうち、発芽のとき2枚の子葉が出る植物を何類というか。,双子葉類
T-017,,葉脈が平行になっているつくりを何というか。,平行脈
T-018,,葉脈が網目状になっているつくりを何というか。,網状脈
T-019,,双子葉類の根は、中心に太い根があり、そこから細い根がある。太い根を何というか。,主根
T-020,,双子葉類の根は、中心に太い根があり、そこから細い根がある。細い根を何というか。,側根
T-021,,アサガオのように花弁がくっついている植物を何というか。,合弁花類
T-022,,サクラのように花弁が離れている植物を何というか。,離弁花類
T-023,,イヌワラビやゼニゴケのように、種子をつくらない植物は何をつくってなかまを増やすか。,胞子
T-024,,種子を作らない植物が仲間を増やす胞子が入っている袋は何か。,胞子のう
T-025,,イヌワラビやヘゴのなかまを何というか。,シダ植物
T-026,,ゼニゴケやスギゴケのなかまを何というか。,コケ植物
T-027,,コケ植物のなかまは、どの部分から水を吸収するか。,体の表面
T-028,,背骨がある動物を何というか。,セキツイ動物,脊椎動物
T-029,,卵から子がかえる生まれ方を何というか。,卵生
T-030,,親の体内で子の体がある程度できてから生まれる生まれ方を何というか。,胎生
T-031,,周囲の温度が変わるにつれ、体温を変化する動物を何というか。,変温動物
T-032,,周囲の温度が変わっても、体温は変化しない動物を何というか。,恒温動物
T-033,,体の表面が羽毛でおおわれているセキツイ動物は何類か。,鳥類
T-034,,子はえら呼吸であるが、おとなになると肺呼吸と皮膚呼吸をするセキツイ動物は何類か。,両生類
T-035,,背骨がない動物を何というか。,無セキツイ動物,無脊椎動物
T-036,,外骨格をもち、体に多くの節がある動物を何というか。,節足動物
T-037,,エビやザリガニ、カニなどのなかまは何類か。,甲殻類
T-038,,バッタやチョウなどのなかまは何類か。,昆虫類
T-039,,貝やタコなどのなかまを何動物というか。,軟体動物
T-040,, 鉄やガラスなど、ものをつくっている材料に注目するとき、それを何というか。, 物質
T-041,, ガスバーナーの炎が赤いときに青い炎にするために、調節するねじは何か。, 空気調節ねじ
T-042,, 加熱すると、二酸化炭素を発生したり、こげて炭になったりする物質を何というか。, 有機物
T-043,, 有機物以外の物質を何というか。, 無機物
T-044,, プラスチックを燃やすと、共通して発生する気体は何か。, 二酸化炭素
T-045,, 金属の、みがくと光を受けて輝く性質を何というか。, 金属光沢
T-046,, 金属以外の物質を何というか。, 非金属
T-047,, 金属をたたくと広がる性質を何というか。, 展性
T-048,, 金属を引っ張るとのびる性質を何というか。, 延性
T-049,, 一定体積あたりの質量を何というか。, 密度
T-050,, 空気中に体積の割合で78%含まれている気体は何か。, 窒素,N₂
T-051,, 空気中に体積の割合で21%含まれている気体は何か。, 酸素,O₂
T-052,, 水に溶けにくい気体を、水上置き換（か）えて集める方法を何というか。, 水上置換法
T-053,, 空気より密度が大きい気体を集める方法を何というか。, 下方置換法
T-054,, 空気より密度が小さい気体を集める方法を何というか。, 上方置換法
T-055,, うすい過酸化水素水に（　）を加えると酸素が発生する。（　）は何か。, 二酸化マンガン
T-056,, 石灰石に塩酸を加えたときに発生する気体は何か。, 二酸化炭素
T-057,, 亜鉛に塩酸を加えたときに発生する気体は何か。, 水素
T-058,, 塩化アンモニウムに、水酸化ナトリウム、水の順に加えたときに発生する気体は何か。, アンモニア
T-059,, フェノールフタレイン液を赤色に変化させるのは、何性の物質か。, アルカリ性
T-060,, 水溶液が塩酸である気体は何か。, 塩化水素
T-061,, 温度によって物質の状態が変化することを何というか。, 状態変化
T-062,, 多くの物質は、固体から液体に変化すると、体積はどうなるか。, 増える
T-063,, 固体から液体に変化すると、質量はどうなるか。, 変わらない
T-064,, 水が固体（氷）から液体に変化すると、密度はどうなるか。, 大きくなる
T-065,, 物質を構成する粒子が、規則正しく並んでいて、ほとんど動かないのは、固体・液体・気体のどの状態か。, 固体
T-066,, 液体の表面から、物質の粒子が空気中に出ていく現象を何というか。, 蒸発
